No,Kode,Nama perusahaan,Tanggal pencatatan,Jumlah Saham,Papan pencatatan,Sektor
126,BEI: BIKE,Sepeda Bersama Indonesia Tbk.,21 Maret 2022,1.293.916.404,Pengembangan,Consumer Cyclicals
127,BEI: BIMA,Primarindo Asia Infrastructure,30 Agustus 1994,608.175.716,Pengembangan,Consumer Cyclicals
128,BEI: BINA,Bank Ina Perdana Tbk.,16 Januari 2014,6.073.369.498,Utama,Financials
129,BEI: BINO,Perma Plasindo Tbk.,25 November 2021,2.275.316.111,Pengembangan,Industrials
130,BEI: BIPI,Astrindo Nusantara Infrastrukt,11 Februari 2010,63.710.196.917,Pengembangan,Energy
131,BEI: BIPP,Bhuwanatala Indah Permai Tbk.,23 Oktober 1995,5.028.669.376,Pemantauan Khusus,Properties & Real Estate
132,BEI: BIRD,Blue Bird Tbk.,5 November 2014,2.502.100.000,Utama,Transportation & Logistics
133,BEI: BISI,BISI International Tbk.,28 Mei 2007,3.000.000.000,Utama,Consumer Non-Cyclicals
134,BEI: BJBR,Bank Pembangunan Daerah Jawa B,8 Juli 2010,10.416.229.249,Utama,Financials
135,BEI: BJTM,Bank Pembangunan Daerah Jawa T,12 Juli 2012,14.865.343.101,Utama,Financials
136,BEI: BKDP,Bukit Darmo Property Tbk.,15 Juni 2007,7.513.992.252,Pemantauan Khusus,Properties & Real Estate
137,BEI: BKSL,Sentul City Tbk.,28 Juli 1997,167.708.902.705,Pemantauan Khusus,Properties & Real Estate
138,BEI: BKSW,Bank QNB Indonesia Tbk.,21 November 2002,34.806.467.881,Pengembangan,Financials
139,BEI: BLES,Superior Prima Sukses Tbk.,8 Juli 2024,8.890.206.400,Utama,Basic Materials
140,BEI: BLTA,Berlian Laju Tanker Tbk,26 Maret 1990,25.940.187.103,Pemantauan Khusus,Transportation & Logistics
141,BEI: BLTZ,Graha Layar Prima Tbk.,10 April 2014,873.937.142,Pemantauan Khusus,Consumer Cyclicals
142,BEI: BLUE,Berkah Prima Perkasa Tbk.,8 Juli 2019,418.000.000,Pengembangan,Industrials
143,BEI: BMAS,Bank Maspion Indonesia Tbk.,11 Juli 2013,17.921.635.680,Pemantauan Khusus,Financials
144,BEI: BMBL,Lavender Bina Cendikia Tbk.,11 Januari 2023,1.030.080.995,Akselerasi,Consumer Cyclicals
145,BEI: BMHS,Bundamedik Tbk.,6 Juli 2021,8.603.416.176,Utama,Healthcare
146,BEI: BMRI,Bank Mandiri (Persero) Tbk.,14 Juli 2003,92.399.999.996,Utama,Financials
147,BEI: BMSR,Bintang Mitra Semestaraya Tbk,29 Desember 1999,1.159.200.024,Pengembangan,Basic Materials
148,BEI: BMTR,Global Mediacom Tbk.,17 Juli 1995,16.583.997.586,Utama,Consumer Cyclicals
149,BEI: BNBA,Bank Bumi Arta Tbk.,1 Juni 2006,3.354.120.000,Pengembangan,Financials
150,BEI: BNBR,Bakrie & Brothers Tbk,28 Agustus 1989,160.057.457.509,Pemantauan Khusus,Industrials
151,BEI: BNGA,Bank CIMB Niaga Tbk.,29 November 1989,24.890.783.784,Utama,Financials
152,BEI: BNII,Bank Maybank Indonesia Tbk.,21 November 1989,75.357.433.911,Utama,Financials
153,BEI: BNLI,Bank Permata Tbk.,15 Januari 1990,35.819.545.925,Pengembangan,Financials
154,BEI: BOAT,Newport Marine Services Tbk.,12 November 2024,3.501.680.000,Pengembangan,Energy
155,BEI: BOBA,Formosa Ingredient Factory Tbk,1 November 2021,1.155.750.000,Pengembangan,Consumer Non-Cyclicals
156,BEI: BOGA,Bintang Oto Global Tbk.,19 Desember 2016,3.803.526.210,Pengembangan,Consumer Cyclicals
157,BEI: BOLA,Bali Bintang Sejahtera Tbk.,17 Juni 2019,6.000.000.000,Utama,Consumer Cyclicals
158,BEI: BOLT,Garuda Metalindo Tbk.,7 Juli 2015,2.343.750.000,Pengembangan,Consumer Cyclicals
159,BEI: BOSS,Borneo Olah Sarana Sukses Tbk.,15 Februari 2018,1.400.000.000,Pemantauan Khusus,Energy
160,BEI: BPFI,Woori Finance Indonesia Tbk.,1 Juni 2009,2.673.995.362,Pengembangan,Financials
161,BEI: BPII,Batavia Prosperindo Internasio,8 Juli 2014,10.309.973.240,Pengembangan,Financials
162,BEI: BPTR,Batavia Prosperindo Trans Tbk.,9 Juli 2018,3.534.000.000,Pengembangan,Transportation & Logistics
163,BEI: BRPT,Barito Pacific Tbk.,1 Oktober 1993,93.747.218.044,Utama,Basic Materials
164,BEI: BRAM,Indo Kordsa Tbk.,5 September 1990,450.056.980,Pengembangan,Consumer Cyclicals
165,BEI: BREN,Barito Renewables Energy Tbk.,9 Oktober 2023,133.786.220.000,Utama,Infrastructure
166,BEI: BRIS,Bank Syariah Indonesia Tbk.,9 Mei 2018,45.667.877.639,Utama,Financials
167,BEI: BRMS,Bumi Resources Minerals Tbk.,9 Desember 2010,141.784.040.338,Utama,Basic Materials
168,BEI: BRNA,Berlina Tbk.,6 November 1989,979.110.000,Pemantauan Khusus,Basic Materials
169,BEI: BSBK,Wulandari Bangun Laksana Tbk.,8 November 2022,25.091.882.375,Utama,Properties & Real Estate
170,BEI: BSDE,Bumi Serpong Damai Tbk.,6 Juni 2008,21.171.365.812,Utama,Properties & Real Estate
171,BEI: BSIM,Bank Sinarmas Tbk.,13 Desember 2010,19.517.921.842,Utama,Financials
172,BEI: BSML,Bintang Samudera Mandiri Lines,16 Desember 2021,1.850.225.000,Pengembangan,Energy
173,BEI: BSSR,Baramulti Suksessarana Tbk.,8 November 2012,2.616.500.000,Pengembangan,Energy
174,BEI: BSWD,Bank Of India Indonesia Tbk.,1 Mei 2002,3.651.978.177,Pemantauan Khusus,Financials
175,BEI: BTEK,Bumi Teknokultura Unggul Tbk,14 Mei 2004,46.277.496.376,Pemantauan Khusus,Consumer Non-Cyclicals
176,BEI: BTEL,Bakrie Telecom Tbk.,3 Februari 2006,36.822.665.755,Pemantauan Khusus,Infrastructure
